Heat Sealing Equipment|Packaging|Heat Sealer|{"sealing_process":"boolean","seal_temp_controlled":"boolean","seal_dwell_controlled":"boolean","seal_pressure_controlled":"boolean","automation_level":"string","has_data_logger":"boolean"}|High|STD_ISO11607
Tray Sealing Machine|Packaging|Tray Sealer|{"sealing_process":"boolean","platen_temp_controlled":"boolean","seal_dwell_controlled":"boolean","automation_level":"string","software_controlled":"boolean","has_data_logger":"boolean"}|High|STD_ISO11607
Blister Sealing Machine|Packaging|Blister Sealer|{"sealing_process":"boolean","seal_pressure_controlled":"boolean","seal_temp_controlled":"boolean","seal_dwell_controlled":"boolean","software_controlled":"boolean","has_data_logger":"boolean"}|High|STD_ISO11607
Form-Fill-Seal Machine|Packaging|Form-Fill-Seal Machine|{"forming_process":"boolean","sealing_process":"boolean","forming_method":"string","software_controlled":"boolean","automation_level":"string","has_data_logger":"boolean"}|High|STD_ISO11607
Cartoner|Packaging|Cartoner|{"process_type":"secondary_packaging","software_controlled":"boolean","reject_logic_present":"boolean"}|Medium|STD_QMS_PROCESS_VALIDATION
Case Packer|Packaging|Case Packer|{"process_type":"secondary_packaging","software_controlled":"boolean","case_size_variability":"boolean"}|Medium|STD_QMS_PROCESS_VALIDATION
Shrink Wrapping System|Packaging|Shrink Wrapper|{"process_type":"secondary_packaging","tunnel_temp_controlled":"boolean","software_controlled":"boolean"}|Medium|STD_QMS_PROCESS_VALIDATION
